Product,Qty Sold,Sales
NASI KECOMBRANG CAKALANG WOKU,16,IDR 464000.00
NASI KECOMBRANG CAKALANG WOKU POUCH,14,IDR 406000.00
JUICE KURMA,4,IDR 34000.00
NASI PUTIH DAGING RENDANG,9,IDR 306000.00
NASI HIJAU PANDAN AYAM SUIR PEDAS,7,IDR 203000.00
NASI PUTIH DAGING RENDANG POUCH,7,IDR 238000.00
DAGING RENDANG POUCH,8,IDR 232000.00
CAKALANG WOKU POUCH,7,IDR 174300.00
NASI BIRYANI INSTANT,4,IDR 56000.00
NASI HIJAU PANDAN AYAM SUIR PEDAS POUCH,4,IDR 116000.00
AYAM SESET KEMANGI POUCH,8,IDR 319200.00
7 DATE SUSU KURMA,6,IDR 53400.00
MIE SEDAP CUP GORENG,1,IDR 10000.00
MIE SEDAAP SELECTION KOREAN SPICY,1,IDR 10000.00
MIE SEDAP CUP KARI AYAM SPESIAL,3,IDR 30000.00
POTAKREZ sapi panggang,2,IDR 10000.00
LARUTAN CAP KAKI TIGA LECI,2,IDR 20000.00
Le Mineral 600ML,5,IDR 30000.00
Beng Beng Maxx,1,IDR 6000.00
CIMORY MATCHA,3,IDR 30000.00
Mie Sedaap Soto,1,IDR 10000.00
LASEGAR LEMON,1,IDR 9000.00
Kopiko Lucky Day 180 ML,1,IDR 9000.00
MILO ORIGINAL 220ML,3,IDR 39000.00
Hydro Coco 250ML,2,IDR 18000.00
MILKU STRAWBERRY,1,IDR 5000.00
Teh Pucuk 350ML,2,IDR 13000.00
Tik Tak Original 90 GRAM,2,IDR 18000.00
yoritos,2,IDR 12000.00
YOU C1000 orange water 500ML,2,IDR 24000.00
AW 250ML,1,IDR 9000.00
NESCAFE ICE BLACK,1,IDR 12000.00
